unixtime;Bx;By;Bz
1615395153.9620109;-2018;-3237;-10867
1615395153.9731314;-2003;-3242;-10751
1615395153.9910777;-1945;-3240;-10541
1615395154.0016727;-1930;-3230;-10440
1615395154.0113575;-1902;-3227;-10331
1615395154.0224087;-1871;-3217;-10197
1615395154.0409224;-1826;-3205;-9963
1615395154.0510955;-1808;-3192;-9837
1615395154.0612512;-1776;-3180;-9717
1615395154.091278;-1705;-3125;-9312
1615395154.1006098;-1692;-3097;-9176
1615395154.1108196;-1681;-3070;-9028
1615395154.121573;-1650;-3047;-8867
1615395154.1505086;-1600;-2950;-8451
1615395154.16042;-1571;-2922;-8290
1615395154.1716707;-1562;-2887;-8107
1615395154.190616;-1515;-2827;-7800
1615395154.1999383;-1500;-2785;-7628
1615395154.210062;-1486;-2745;-7476
1615395154.2212317;-1478;-2705;-7273
1615395154.2301002;-1465;-2672;-7127
1615395154.2601454;-1423;-2525;-6576
1615395154.2713654;-1420;-2465;-6372
1615395154.299389;-1383;-2317;-5821
1615395154.3298833;-1370;-2152;-5238
1615395154.359374;-1365;-1957;-4628
1615395154.370194;-1352;-1892;-4400
1615395154.3990688;-1357;-1705;-3802
1615395154.4296308;-1357;-1502;-3173
1615395154.4387777;-1381;-1432;-2952
1615395154.469766;-1396;-1207;-2268
1615395154.4987504;-1428;-1007;-1640
1615395154.5082703;-1447;-912;-1405
1615395154.518885;-1467;-845;-1178
